Episode_Title,Season_Episode,Season_Number,Episode_Rating,Series_Name
Remembrance,"S1, Ep1",S1,8.3,Star Trek: Picard
Maps and Legends,"S1, Ep2",S1,7.4,Star Trek: Picard
The End Is the Beginning,"S1, Ep3",S1,7.4,Star Trek: Picard
Absolute Candor,"S1, Ep4",S1,7.2,Star Trek: Picard
Stardust City Rag,"S1, Ep5",S1,6.9,Star Trek: Picard
The Impossible Box,"S1, Ep6",S1,7.9,Star Trek: Picard
Nepenthe,"S1, Ep7",S1,8.4,Star Trek: Picard
Broken Pieces,"S1, Ep8",S1,7.8,Star Trek: Picard
"Et in Arcadia Ego, Part 1","S1, Ep9",S1,7.2,Star Trek: Picard
"Et in Arcadia Ego, Part 2","S1, Ep10",S1,7.5,Star Trek: Picard
Pilot,"S1, Ep1",S1,8.9,Twin Peaks
Episode #1.2,"S1, Ep2",S1,8.4,Twin Peaks
Episode #1.3,"S1, Ep3",S1,9.0,Twin Peaks
Episode #1.4,"S1, Ep4",S1,8.3,Twin Peaks
Episode #1.5,"S1, Ep5",S1,8.2,Twin Peaks
Episode #1.6,"S1, Ep6",S1,8.6,Twin Peaks
Episode #1.7,"S1, Ep7",S1,8.6,Twin Peaks
Episode #1.8,"S1, Ep8",S1,9.1,Twin Peaks
Episode #2.1,"S2, Ep1",S2,9.0,Twin Peaks
Episode #2.2,"S2, Ep2",S2,8.7,Twin Peaks
Episode #2.3,"S2, Ep3",S2,8.3,Twin Peaks
Episode #2.4,"S2, Ep4",S2,8.1,Twin Peaks
Episode #2.5,"S2, Ep5",S2,8.4,Twin Peaks
Episode #2.6,"S2, Ep6",S2,8.5,Twin Peaks
Episode #2.7,"S2, Ep7",S2,9.4,Twin Peaks
Episode #2.8,"S2, Ep8",S2,8.6,Twin Peaks
Episode #2.9,"S2, Ep9",S2,9.3,Twin Peaks
Episode #2.10,"S2, Ep10",S2,7.9,Twin Peaks
Episode #2.11,"S2, Ep11",S2,7.5,Twin Peaks
Episode #2.12,"S2, Ep12",S2,7.5,Twin Peaks
Episode #2.13,"S2, Ep13",S2,7.8,Twin Peaks
Episode #2.14,"S2, Ep14",S2,7.7,Twin Peaks
Episode #2.15,"S2, Ep15",S2,7.4,Twin Peaks
Episode #2.16,"S2, Ep16",S2,7.9,Twin Peaks
Episode #2.17,"S2, Ep17",S2,7.6,Twin Peaks
Episode #2.18,"S2, Ep18",S2,8.1,Twin Peaks
Episode #2.19,"S2, Ep19",S2,8.0,Twin Peaks
Episode #2.20,"S2, Ep20",S2,8.3,Twin Peaks
Episode #2.21,"S2, Ep21",S2,8.6,Twin Peaks
Episode #2.22,"S2, Ep22",S2,9.3,Twin Peaks
The Train Job,"S1, Ep1",S1,8.5,Firefly
Bushwhacked,"S1, Ep2",S1,8.5,Firefly
Our Mrs. Reynolds,"S1, Ep3",S1,9.0,Firefly
Jaynestown,"S1, Ep4",S1,8.7,Firefly
Out of Gas,"S1, Ep5",S1,9.4,Firefly
Shindig,"S1, Ep6",S1,8.5,Firefly
Safe,"S1, Ep7",S1,8.3,Firefly
Ariel,"S1, Ep8",S1,9.0,Firefly
War Stories,"S1, Ep9",S1,8.9,Firefly
Objects in Space,"S1, Ep10",S1,9.2,Firefly
Serenity,"S1, Ep11",S1,8.9,Firefly
Heart of Gold,"S1, Ep12",S1,8.4,Firefly
Trash,"S1, Ep13",S1,8.8,Firefly
The Message,"S1, Ep14",S1,8.5,Firefly
Cruelty,"S1, Ep1",S1,8.6,Demon Slayer: Kimetsu No Yaiba
Trainer Sakonji Urokodaki,"S1, Ep2",S1,8.2,Demon Slayer: Kimetsu No Yaiba
Sabito and Makomo,"S1, Ep3",S1,8.5,Demon Slayer: Kimetsu No Yaiba
Final Selection,"S1, Ep4",S1,9.0,Demon Slayer: Kimetsu No Yaiba
My Own Steel,"S1, Ep5",S1,8.4,Demon Slayer: Kimetsu No Yaiba
Swordsman Accompanying a Demon,"S1, Ep6",S1,8.3,Demon Slayer: Kimetsu No Yaiba
Muzan Kibutsuji,"S1, Ep7",S1,9.0,Demon Slayer: Kimetsu No Yaiba
The Smell of Enchanting Blood,"S1, Ep8",S1,8.7,Demon Slayer: Kimetsu No Yaiba
Temari Demon and Arrow Demon,"S1, Ep9",S1,8.7,Demon Slayer: Kimetsu No Yaiba
Together Forever,"S1, Ep10",S1,8.7,Demon Slayer: Kimetsu No Yaiba
Tsuzumi Mansion,"S1, Ep11",S1,7.7,Demon Slayer: Kimetsu No Yaiba
"The Boar Bares Its Fangs, Zenitsu Sleeps","S1, Ep12",S1,8.3,Demon Slayer: Kimetsu No Yaiba
Something More Important Than Life,"S1, Ep13",S1,8.5,Demon Slayer: Kimetsu No Yaiba
The House with the Wisteria Family Crest,"S1, Ep14",S1,8.1,Demon Slayer: Kimetsu No Yaiba
Mount Natagumo,"S1, Ep15",S1,8.3,Demon Slayer: Kimetsu No Yaiba
Letting Someone Else Go First,"S1, Ep16",S1,9.0,Demon Slayer: Kimetsu No Yaiba
You Must Master a Single Thing,"S1, Ep17",S1,9.2,Demon Slayer: Kimetsu No Yaiba
A Forged Bond,"S1, Ep18",S1,9.3,Demon Slayer: Kimetsu No Yaiba
Hinokami,"S1, Ep19",S1,9.8,Demon Slayer: Kimetsu No Yaiba
Pretend Family,"S1, Ep20",S1,9.1,Demon Slayer: Kimetsu No Yaiba
Against Corps Rules,"S1, Ep21",S1,8.8,Demon Slayer: Kimetsu No Yaiba
Master of the Mansion,"S1, Ep22",S1,8.7,Demon Slayer: Kimetsu No Yaiba
Hashira Meeting,"S1, Ep23",S1,8.2,Demon Slayer: Kimetsu No Yaiba
Rehabilitation Training,"S1, Ep24",S1,8.1,Demon Slayer: Kimetsu No Yaiba
"Tsuguko, Kanao Tsuyuri","S1, Ep25",S1,8.2,Demon Slayer: Kimetsu No Yaiba
New Mission,"S1, Ep26",S1,9.1,Demon Slayer: Kimetsu No Yaiba
Unaired 2013 Pilot,"S1, Ep1",S1,9.2,The Night Of
The Beach,"S1, Ep2",S1,8.4,The Night Of
Subtle Beast,"S1, Ep3",S1,8.5,The Night Of
A Dark Crate,"S1, Ep4",S1,8.8,The Night Of
The Art of War,"S1, Ep5",S1,8.7,The Night Of
The Season of the Witch,"S1, Ep6",S1,8.3,The Night Of
Samson and Delilah,"S1, Ep7",S1,9.0,The Night Of
Ordinary Death,"S1, Ep8",S1,9.1,The Night Of
Episode #1.1,"S1, Ep1",S1,7.8,Mindhunter
Episode #1.2,"S1, Ep2",S1,8.5,Mindhunter
Episode #1.3,"S1, Ep3",S1,8.3,Mindhunter
Episode #1.4,"S1, Ep4",S1,8.3,Mindhunter
Episode #1.5,"S1, Ep5",S1,8.7,Mindhunter
Episode #1.6,"S1, Ep6",S1,8.0,Mindhunter
Episode #1.7,"S1, Ep7",S1,8.3,Mindhunter
Episode #1.8,"S1, Ep8",S1,8.2,Mindhunter
Episode #1.9,"S1, Ep9",S1,8.7,Mindhunter
Episode #1.10,"S1, Ep10",S1,9.2,Mindhunter
Episode #2.1,"S2, Ep1",S2,8.2,Mindhunter
Episode #2.2,"S2, Ep2",S2,8.7,Mindhunter
Episode #2.3,"S2, Ep3",S2,8.3,Mindhunter
Episode #2.4,"S2, Ep4",S2,8.6,Mindhunter
Episode #2.5,"S2, Ep5",S2,9.0,Mindhunter
Episode #2.6,"S2, Ep6",S2,8.2,Mindhunter
Episode #2.7,"S2, Ep7",S2,8.3,Mindhunter
Episode #2.8,"S2, Ep8",S2,8.6,Mindhunter
Episode #2.9,"S2, Ep9",S2,8.8,Mindhunter
Currahee,"S1, Ep1",S1,8.7,Band of Brothers
Day of Days,"S1, Ep2",S1,9.2,Band of Brothers
Carentan,"S1, Ep3",S1,9.0,Band of Brothers
Replacements,"S1, Ep4",S1,8.9,Band of Brothers
Crossroads,"S1, Ep5",S1,8.9,Band of Brothers
Bastogne,"S1, Ep6",S1,9.2,Band of Brothers
The Breaking Point,"S1, Ep7",S1,9.4,Band of Brothers
The Last Patrol,"S1, Ep8",S1,8.8,Band of Brothers
Why We Fight,"S1, Ep9",S1,9.5,Band of Brothers
Points,"S1, Ep10",S1,9.2,Band of Brothers
